tag,tag_kind,tag_source,rule_id,name,domain,severity,evidence_mode,path
access,routing,metadata,aws-access-analyzer-unused-access-finding,AWS Access Analyzer Unused Access Finding,aws,medium,cel,policies/aws/aws-access-analyzer-unused-access-finding.yaml
access,routing,metadata,gcp-log-sink-access,GCP Log Sink Access Restricted,gcp,high,query,policies/gcp/gcp-log-sink-access.yaml
access,routing,metadata,secrets-least-privilege,Secrets Least Privilege Access,secrets,medium,query,policies/secrets/secrets-least-privilege.yaml
access-analyzer,routing,metadata,aws-access-analyzer-unused-access-finding,AWS Access Analyzer Unused Access Finding,aws,medium,cel,policies/aws/aws-access-analyzer-unused-access-finding.yaml
access-analyzer,routing,metadata,aws-iam-access-analyzer-enabled,IAM Access Analyzer Enabled,aws,medium,cel,policies/aws/aws-iam-access-analyzer.yaml
access-control,routing,metadata,ai-rag-vector-index-access-control,AI Rag Vector Index Access Control,ai,medium,cel,policies/ai/ai-rag-vector-index-access-control.yaml
access-control,routing,metadata,azure-ad-guest-access-restricted,Azure AD Guest Access Restricted,azure,medium,cel,policies/azure/azure-ad-guest-unrestricted.yaml
access-control,routing,metadata,endpoint-jamf-screenlock,Jamf Mobile Devices Without Screen Lock,endpoint,medium,query,policies/endpoint/endpoint-jamf-screenlock.yaml
access-control,routing,metadata,endpoint-screenlock-configured,Endpoint Screen Lock Configured,endpoint,medium,cel,policies/endpoint/endpoint-screenlock.yaml
access-control,routing,metadata,gcp-storage-uniform-bucket-access,GCP Storage Uniform Bucket Access,gcp,medium,cel,policies/gcp/gcp-storage-uniform-access.yaml
access-control,routing,metadata,hipaa-access-controls,HIPAA Unique User Identification,hipaa,high,query,policies/hipaa/hipaa-access-controls.yaml
access-control,routing,metadata,identity-atlassian-duplicate-email,Atlassian Duplicate Account Emails,identity,high,query,policies/identity/identity-atlassian-duplicate-email.yaml
access-control,routing,metadata,identity-atlassian-terminated-active-account,Atlassian Terminated Accounts Still Active,identity,high,query,policies/identity/identity-atlassian-terminated-active-account.yaml
access-control,routing,metadata,identity-auth0-duplicate-email,Auth0 Duplicate Account Emails,identity,high,query,policies/identity/identity-auth0-duplicate-email.yaml
access-control,routing,metadata,identity-auth0-terminated-active-account,Auth0 Terminated Accounts Still Active,identity,high,query,policies/identity/identity-auth0-terminated-active-account.yaml
access-control,routing,metadata,identity-cyberark-deprovision,CyberArk Accounts Deprovisioned on Termination,identity,high,query,policies/identity/identity-cyberark-deprovision.yaml
access-control,routing,metadata,identity-cyberark-duplicate-email,Cyberark Duplicate Account Emails,identity,high,query,policies/identity/identity-cyberark-duplicate-email.yaml
access-control,routing,metadata,identity-cyberark-terminated-active-account,Cyberark Terminated Accounts Still Active,identity,high,query,policies/identity/identity-cyberark-terminated-active-account.yaml
access-control,routing,metadata,identity-duo-deprovision,Duo Accounts Deprovisioned on Termination,identity,high,query,policies/identity/identity-duo-deprovision.yaml
access-control,routing,metadata,identity-duo-duplicate-email,Duo Duplicate Account Emails,identity,high,query,policies/identity/identity-duo-duplicate-email.yaml
access-control,routing,metadata,identity-duo-terminated-active-account,Duo Terminated Accounts Still Active,identity,high,query,policies/identity/identity-duo-terminated-active-account.yaml
access-control,routing,metadata,identity-entra-duplicate-email,Entra Duplicate Account Emails,identity,high,query,policies/identity/identity-entra-duplicate-email.yaml
access-control,routing,metadata,identity-entra-risky-duplicate-email,Entra Risky Duplicate Account Emails,identity,high,query,policies/identity/identity-entra-risky-duplicate-email.yaml
access-control,routing,metadata,identity-entra-risky-terminated-active-account,Entra Risky Terminated Accounts Still Active,identity,high,query,policies/identity/identity-entra-risky-terminated-active-account.yaml
access-control,routing,metadata,identity-entra-terminated-active-account,Entra Terminated Accounts Still Active,identity,high,query,policies/identity/identity-entra-terminated-active-account.yaml
access-control,routing,metadata,identity-forgerock-deprovision,ForgeRock Accounts Deprovisioned on Termination,identity,high,query,policies/identity/identity-forgerock-deprovision.yaml
access-control,routing,metadata,identity-forgerock-duplicate-email,Forgerock Duplicate Account Emails,identity,high,query,policies/identity/identity-forgerock-duplicate-email.yaml
access-control,routing,metadata,identity-forgerock-terminated-active-account,Forgerock Terminated Accounts Still Active,identity,high,query,policies/identity/identity-forgerock-terminated-active-account.yaml
access-control,routing,metadata,identity-github-deprovision,GitHub Accounts Deprovisioned on Termination,identity,high,query,policies/identity/identity-github-deprovision.yaml
access-control,routing,metadata,identity-github-duplicate-email,Github Duplicate Account Emails,identity,high,query,policies/identity/identity-github-duplicate-email.yaml
access-control,routing,metadata,identity-github-terminated-active-account,Github Terminated Accounts Still Active,identity,high,query,policies/identity/identity-github-terminated-active-account.yaml
access-control,routing,metadata,identity-gong-duplicate-email,Gong Duplicate Account Emails,identity,high,query,policies/identity/identity-gong-duplicate-email.yaml
access-control,routing,metadata,identity-gong-terminated-active-account,Gong Terminated Accounts Still Active,identity,high,query,policies/identity/identity-gong-terminated-active-account.yaml
access-control,routing,metadata,identity-google-workspace-duplicate-email,Google Workspace Duplicate Account Emails,identity,high,query,policies/identity/identity-google-workspace-duplicate-email.yaml
access-control,routing,metadata,identity-google-workspace-terminated-active-account,Google Workspace Terminated Accounts Still Active,identity,high,query,policies/identity/identity-google-workspace-terminated-active-account.yaml
access-control,routing,metadata,identity-jamf-duplicate-email,Jamf Duplicate Account Emails,identity,high,query,policies/identity/identity-jamf-duplicate-email.yaml
access-control,routing,metadata,identity-jamf-terminated-active-account,Jamf Terminated Accounts Still Active,identity,high,query,policies/identity/identity-jamf-terminated-active-account.yaml
access-control,routing,metadata,identity-jumpcloud-deprovision,JumpCloud Accounts Deprovisioned on Termination,identity,high,query,policies/identity/identity-jumpcloud-deprovision.yaml
access-control,routing,metadata,identity-jumpcloud-duplicate-email,Jumpcloud Duplicate Account Emails,identity,high,query,policies/identity/identity-jumpcloud-duplicate-email.yaml
access-control,routing,metadata,identity-jumpcloud-terminated-active-account,Jumpcloud Terminated Accounts Still Active,identity,high,query,policies/identity/identity-jumpcloud-terminated-active-account.yaml
access-control,routing,metadata,identity-kandji-duplicate-email,Kandji Duplicate Account Emails,identity,high,query,policies/identity/identity-kandji-duplicate-email.yaml
access-control,routing,metadata,identity-kandji-terminated-active-account,Kandji Terminated Accounts Still Active,identity,high,query,policies/identity/identity-kandji-terminated-active-account.yaml
access-control,routing,metadata,identity-kolide-duplicate-email,Kolide Duplicate Account Emails,identity,high,query,policies/identity/identity-kolide-duplicate-email.yaml
access-control,routing,metadata,identity-kolide-terminated-active-account,Kolide Terminated Accounts Still Active,identity,high,query,policies/identity/identity-kolide-terminated-active-account.yaml
