framework,control_id,control_ref,control_family,related_framework,related_control_id,related_control_ref,related_control_family,relationship,evidence_use,finding_id,finding_name,pack_id,source_id,evaluation_mode,severity,status,maturity,rationale
GDPR,Article 32,GDPR Article 32,GDPR Article Articles,GDPR,Article 33,GDPR Article 33,GDPR Article Articles,evidence_dependency,review_hint,compliance-gdpr-policy,GDPR Compliance Policy Exists,policy,policy,event,high,active,candidate,Security-of-processing findings should prompt breach-notification readiness review for the same processing activity.
GDPR,Article 32,GDPR Article 32,GDPR Article Articles,GDPR,Article 33,GDPR Article 33,GDPR Article Articles,evidence_dependency,review_hint,compliance-inventory-data-tracking,Inventory Tracks Resources with User Data,policy,policy,event,medium,active,candidate,Security-of-processing findings should prompt breach-notification readiness review for the same processing activity.
GDPR,Article 32,GDPR Article 32,GDPR Article Articles,GDPR,Article 33,GDPR Article 33,GDPR Article Articles,evidence_dependency,review_hint,compliance-ir-gdpr-addendum,Incident Response Plan GDPR Addendum,policy,policy,event,high,active,candidate,Security-of-processing findings should prompt breach-notification readiness review for the same processing activity.
GDPR,Article 32,GDPR Article 32,GDPR Article Articles,GDPR,Article 34,GDPR Article 34,GDPR Article Articles,evidence_dependency,review_hint,compliance-gdpr-policy,GDPR Compliance Policy Exists,policy,policy,event,high,active,candidate,Security-of-processing findings should prompt data-subject notification readiness review when personal-data impact is plausible.
GDPR,Article 32,GDPR Article 32,GDPR Article Articles,GDPR,Article 34,GDPR Article 34,GDPR Article Articles,evidence_dependency,review_hint,compliance-inventory-data-tracking,Inventory Tracks Resources with User Data,policy,policy,event,medium,active,candidate,Security-of-processing findings should prompt data-subject notification readiness review when personal-data impact is plausible.
GDPR,Article 32,GDPR Article 32,GDPR Article Articles,GDPR,Article 34,GDPR Article 34,GDPR Article Articles,evidence_dependency,review_hint,compliance-ir-gdpr-addendum,Incident Response Plan GDPR Addendum,policy,policy,event,high,active,candidate,Security-of-processing findings should prompt data-subject notification readiness review when personal-data impact is plausible.
GDPR,Article 5,GDPR Article 5,GDPR Article Articles,GDPR,Article 24,GDPR Article 24,GDPR Article Articles,accountability_dependency,review_hint,ai-data-governance,AI Training Data Governance,policy,policy,event,high,active,candidate,Principle-level findings need ownership and responsibility evidence before the privacy packet is review-ready.
GDPR,Article 5,GDPR Article 5,GDPR Article Articles,GDPR,Article 24,GDPR Article 24,GDPR Article Articles,accountability_dependency,review_hint,ai-data-retention-reviewed,AI Data Retention Reviewed,policy,policy,event,medium,active,candidate,Principle-level findings need ownership and responsibility evidence before the privacy packet is review-ready.
GDPR,Article 5,GDPR Article 5,GDPR Article Articles,GDPR,Article 24,GDPR Article 24,GDPR Article Articles,accountability_dependency,review_hint,compliance-data-inventory-maintained,Data Inventory Maintained,policy,policy,event,medium,active,candidate,Principle-level findings need ownership and responsibility evidence before the privacy packet is review-ready.
GDPR,Article 5,GDPR Article 5,GDPR Article Articles,GDPR,Article 24,GDPR Article 24,GDPR Article Articles,accountability_dependency,review_hint,compliance-gdpr-policy,GDPR Compliance Policy Exists,policy,policy,event,high,active,candidate,Principle-level findings need ownership and responsibility evidence before the privacy packet is review-ready.
GDPR,Article 5,GDPR Article 5,GDPR Article Articles,GDPR,Article 24,GDPR Article 24,GDPR Article Articles,accountability_dependency,review_hint,compliance-inventory-data-tracking,Inventory Tracks Resources with User Data,policy,policy,event,medium,active,candidate,Principle-level findings need ownership and responsibility evidence before the privacy packet is review-ready.
GDPR,Article 5,GDPR Article 5,GDPR Article Articles,GDPR,Article 24,GDPR Article 24,GDPR Article Articles,accountability_dependency,review_hint,compliance-ir-gdpr-addendum,Incident Response Plan GDPR Addendum,policy,policy,event,high,active,candidate,Principle-level findings need ownership and responsibility evidence before the privacy packet is review-ready.
HIPAA,164.308(a)(6),HIPAA 164.308(a)(6),HIPAA 164.308 Administrative Safeguards,HIPAA,164.312(b),HIPAA 164.312(b),HIPAA 164.312 Technical Safeguards,evidence_dependency,review_hint,compliance-ir-plan-exists,Incident Response Plan Exists,policy,policy,event,high,active,candidate,Incident-procedure evidence should be reviewed with audit-control records that show how the incident was detected or reconstructed.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(a)(2)(ii),HIPAA 164.312(a)(2)(ii),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,backup-encryption,Backups Encrypted at Rest,policy,policy,event,high,active,candidate,Broad technical-safeguard mappings should prompt access-emergency and access-procedure detail review when the source can provide it.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(a)(2)(ii),HIPAA 164.312(a)(2)(ii),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,backup-retention,Backup Retention Policy Compliance,policy,policy,event,medium,active,candidate,Broad technical-safeguard mappings should prompt access-emergency and access-procedure detail review when the source can provide it.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(a)(2)(ii),HIPAA 164.312(a)(2)(ii),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,compliance-background-checks,Background Checks on New Hires,policy,policy,event,high,active,candidate,Broad technical-safeguard mappings should prompt access-emergency and access-procedure detail review when the source can provide it.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(a)(2)(ii),HIPAA 164.312(a)(2)(ii),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,compliance-security-training,Security Awareness Training Completed,policy,policy,event,medium,active,candidate,Broad technical-safeguard mappings should prompt access-emergency and access-procedure detail review when the source can provide it.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(a)(2)(ii),HIPAA 164.312(a)(2)(ii),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,db-audit-logging,Database Audit Logging Enabled,policy,policy,event,medium,active,candidate,Broad technical-safeguard mappings should prompt access-emergency and access-procedure detail review when the source can provide it.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(a)(2)(ii),HIPAA 164.312(a)(2)(ii),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,db-encryption-at-rest,Database Encryption at Rest,policy,policy,event,high,active,candidate,Broad technical-safeguard mappings should prompt access-emergency and access-procedure detail review when the source can provide it.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(a)(2)(ii),HIPAA 164.312(a)(2)(ii),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,db-ssl-connections,Database SSL Connections Enforced,policy,policy,event,high,active,candidate,Broad technical-safeguard mappings should prompt access-emergency and access-procedure detail review when the source can provide it.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(a)(2)(ii),HIPAA 164.312(a)(2)(ii),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,hipaa-access-controls,HIPAA Unique User Identification,policy,policy,event,high,active,candidate,Broad technical-safeguard mappings should prompt access-emergency and access-procedure detail review when the source can provide it.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(a)(2)(ii),HIPAA 164.312(a)(2)(ii),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,hipaa-audit-controls,HIPAA Audit Controls,policy,policy,event,high,active,candidate,Broad technical-safeguard mappings should prompt access-emergency and access-procedure detail review when the source can provide it.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(a)(2)(ii),HIPAA 164.312(a)(2)(ii),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,hipaa-automatic-logoff,HIPAA Automatic Logoff,policy,policy,event,medium,active,candidate,Broad technical-safeguard mappings should prompt access-emergency and access-procedure detail review when the source can provide it.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(a)(2)(ii),HIPAA 164.312(a)(2)(ii),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,hipaa-baa-required,HIPAA Business Associate Agreements,policy,policy,event,high,active,candidate,Broad technical-safeguard mappings should prompt access-emergency and access-procedure detail review when the source can provide it.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(a)(2)(ii),HIPAA 164.312(a)(2)(ii),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,hipaa-phi-encryption,PHI Data Encrypted at Rest,policy,policy,event,critical,active,candidate,Broad technical-safeguard mappings should prompt access-emergency and access-procedure detail review when the source can provide it.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(a)(2)(ii),HIPAA 164.312(a)(2)(ii),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,hipaa-transmission-security,HIPAA Transmission Security,policy,policy,event,critical,active,candidate,Broad technical-safeguard mappings should prompt access-emergency and access-procedure detail review when the source can provide it.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(a)(2)(iv),HIPAA 164.312(a)(2)(iv),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,backup-encryption,Backups Encrypted at Rest,policy,policy,event,high,active,candidate,Broad technical-safeguard mappings should prompt encryption and decryption detail review for stored electronic protected health information.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(a)(2)(iv),HIPAA 164.312(a)(2)(iv),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,backup-retention,Backup Retention Policy Compliance,policy,policy,event,medium,active,candidate,Broad technical-safeguard mappings should prompt encryption and decryption detail review for stored electronic protected health information.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(a)(2)(iv),HIPAA 164.312(a)(2)(iv),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,compliance-background-checks,Background Checks on New Hires,policy,policy,event,high,active,candidate,Broad technical-safeguard mappings should prompt encryption and decryption detail review for stored electronic protected health information.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(a)(2)(iv),HIPAA 164.312(a)(2)(iv),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,compliance-security-training,Security Awareness Training Completed,policy,policy,event,medium,active,candidate,Broad technical-safeguard mappings should prompt encryption and decryption detail review for stored electronic protected health information.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(a)(2)(iv),HIPAA 164.312(a)(2)(iv),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,db-audit-logging,Database Audit Logging Enabled,policy,policy,event,medium,active,candidate,Broad technical-safeguard mappings should prompt encryption and decryption detail review for stored electronic protected health information.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(a)(2)(iv),HIPAA 164.312(a)(2)(iv),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,db-encryption-at-rest,Database Encryption at Rest,policy,policy,event,high,active,candidate,Broad technical-safeguard mappings should prompt encryption and decryption detail review for stored electronic protected health information.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(a)(2)(iv),HIPAA 164.312(a)(2)(iv),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,db-ssl-connections,Database SSL Connections Enforced,policy,policy,event,high,active,candidate,Broad technical-safeguard mappings should prompt encryption and decryption detail review for stored electronic protected health information.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(a)(2)(iv),HIPAA 164.312(a)(2)(iv),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,hipaa-access-controls,HIPAA Unique User Identification,policy,policy,event,high,active,candidate,Broad technical-safeguard mappings should prompt encryption and decryption detail review for stored electronic protected health information.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(a)(2)(iv),HIPAA 164.312(a)(2)(iv),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,hipaa-audit-controls,HIPAA Audit Controls,policy,policy,event,high,active,candidate,Broad technical-safeguard mappings should prompt encryption and decryption detail review for stored electronic protected health information.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(a)(2)(iv),HIPAA 164.312(a)(2)(iv),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,hipaa-automatic-logoff,HIPAA Automatic Logoff,policy,policy,event,medium,active,candidate,Broad technical-safeguard mappings should prompt encryption and decryption detail review for stored electronic protected health information.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(a)(2)(iv),HIPAA 164.312(a)(2)(iv),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,hipaa-baa-required,HIPAA Business Associate Agreements,policy,policy,event,high,active,candidate,Broad technical-safeguard mappings should prompt encryption and decryption detail review for stored electronic protected health information.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(a)(2)(iv),HIPAA 164.312(a)(2)(iv),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,hipaa-phi-encryption,PHI Data Encrypted at Rest,policy,policy,event,critical,active,candidate,Broad technical-safeguard mappings should prompt encryption and decryption detail review for stored electronic protected health information.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(a)(2)(iv),HIPAA 164.312(a)(2)(iv),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,hipaa-transmission-security,HIPAA Transmission Security,policy,policy,event,critical,active,candidate,Broad technical-safeguard mappings should prompt encryption and decryption detail review for stored electronic protected health information.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(b),HIPAA 164.312(b),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,backup-encryption,Backups Encrypted at Rest,policy,policy,event,high,active,candidate,Broad technical-safeguard mappings should prompt audit-control review so activity records can be tied to the safeguard.
HIPAA,164.312,HIPAA 164.312,HIPAA 164.312 Technical Safeguards,HIPAA,164.312(b),HIPAA 164.312(b),HIPAA 164.312 Technical Safeguards,child_standard,review_hint,backup-retention,Backup Retention Policy Compliance,policy,policy,event,medium,active,candidate,Broad technical-safeguard mappings should prompt audit-control review so activity records can be tied to the safeguard.
