framework,control_id,control_ref,control_family,control_match_source,mapping_confidence,mapping_rationale,source_coverage_refs,finding_id,name,pack_id,source_id,evaluation_mode,severity,status,maturity
CCPA,1798.100,CCPA 1798.100,CCPA 1798 Consumer Privacy Rights,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,compliance-data-inventory-maintained,Data Inventory Maintained,policy,policy,event,medium,active,candidate
CCPA,1798.105,CCPA 1798.105,CCPA 1798 Consumer Privacy Rights,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,ai-data-retention-reviewed,AI Data Retention Reviewed,policy,policy,event,medium,active,candidate
CCPA,1798.130,CCPA 1798.130,CCPA 1798 Consumer Privacy Rights,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,compliance-data-inventory-maintained,Data Inventory Maintained,policy,policy,event,medium,active,candidate
CCPA,1798.150,CCPA 1798.150,CCPA 1798 Consumer Privacy Rights,finding_control_ref,medium,Direct control ref is mapped from catalog metadata; no source coverage is attached to this finding.,,compliance-ir-gdpr-addendum,Incident Response Plan GDPR Addendum,policy,policy,event,high,active,candidate
CIS AWS Foundations Benchmark v2.0,1.10,CIS AWS Foundations Benchmark v2.0 1.10,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-iam-password-policy,IAM Password Policy Requirements,policy,policy,event,medium,active,candidate
CIS AWS Foundations Benchmark v2.0,1.12,CIS AWS Foundations Benchmark v2.0 1.12,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-iam-user-console-inactive,IAM User Console Inactive,policy,policy,event,medium,active,candidate
CIS AWS Foundations Benchmark v2.0,1.12,CIS AWS Foundations Benchmark v2.0 1.12,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-iam-user-unused-credentials,IAM User Unused Credentials,policy,policy,event,medium,active,candidate
CIS AWS Foundations Benchmark v2.0,1.13,CIS AWS Foundations Benchmark v2.0 1.13,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-iam-single-access-key,IAM Users Have Single Active Access Key,policy,policy,event,medium,active,candidate
CIS AWS Foundations Benchmark v2.0,1.14,CIS AWS Foundations Benchmark v2.0 1.14,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-iam-access-key-rotation,IAM Access Key Rotation,policy,policy,event,medium,active,candidate
CIS AWS Foundations Benchmark v2.0,1.15,CIS AWS Foundations Benchmark v2.0 1.15,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-iam-no-policies-attached-user,IAM Policies Attached to Groups Not Users,policy,policy,event,low,active,candidate
CIS AWS Foundations Benchmark v2.0,1.15,CIS AWS Foundations Benchmark v2.0 1.15,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-iam-users-via-groups,IAM Users Receive Permissions Only Through Groups,policy,policy,event,low,active,candidate
CIS AWS Foundations Benchmark v2.0,1.16,CIS AWS Foundations Benchmark v2.0 1.16,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-iam-policy-no-admin-star,IAM Policy No Admin Star,policy,policy,event,high,active,candidate
CIS AWS Foundations Benchmark v2.0,1.16,CIS AWS Foundations Benchmark v2.0 1.16,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,finding_control_ref+source_coverage_ref,high,Direct control ref is backed by matched source coverage with a declared YAML capability.,aws/ec2_instance,aws-ec2-iam-instance-profile,EC2 Instances Use IAM Instance Profiles,policy,policy,event,medium,active,candidate
CIS AWS Foundations Benchmark v2.0,1.19,CIS AWS Foundations Benchmark v2.0 1.19,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-iam-expired-certificates,IAM Server Certificates Not Expired,policy,policy,event,medium,active,candidate
CIS AWS Foundations Benchmark v2.0,1.20,CIS AWS Foundations Benchmark v2.0 1.20,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-iam-support-role,AWS IAM Support Role Exists,policy,policy,event,low,active,candidate
CIS AWS Foundations Benchmark v2.0,1.21,CIS AWS Foundations Benchmark v2.0 1.21,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-iam-access-analyzer-enabled,IAM Access Analyzer Enabled,policy,policy,event,medium,active,candidate
CIS AWS Foundations Benchmark v2.0,1.4,CIS AWS Foundations Benchmark v2.0 1.4,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-iam-root-no-access-keys,Root Account Access Keys,policy,policy,event,critical,active,candidate
CIS AWS Foundations Benchmark v2.0,1.4,CIS AWS Foundations Benchmark v2.0 1.4,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-iam-user-mfa-enabled,IAM User MFA Enabled,policy,policy,event,high,active,candidate
CIS AWS Foundations Benchmark v2.0,1.5,CIS AWS Foundations Benchmark v2.0 1.5,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-iam-root-mfa-enabled,Root Account MFA Enabled,policy,policy,event,critical,active,candidate
CIS AWS Foundations Benchmark v2.0,1.8,CIS AWS Foundations Benchmark v2.0 1.8,CIS AWS Foundations Benchmark v2.0 1 Identity and Access Management,finding_control_ref,review,"Finding has source coverage, but it does not currently back this control with complete YAML capability context.",,aws-iam-password-policy,IAM Password Policy Requirements,policy,policy,event,medium,active,candidate
