finding_id,name,pack_id,source_id,evaluation_mode,severity,status,maturity,resolved_audit_domain,audit_language_source,evidence_type,assessment_methods,control_ref_count,source_matched_control_ref_count,source_backed_control_ref_count,control_refs_without_source_match_count,control_refs_without_source_match,source_coverage_ref_count,source_coverage_support_levels,source_coverage_high_value_count,compliance_evidence_status,review_flags
account-lateral-dormant,Account with a lateral movement finding to admin is inactive for over 90 days,policy,policy,event,high,active,candidate,cerebro,catalog,attack_path_context,examine; test,6,1,1,5,CIS Controls v8 5; CIS Controls v8 6; NIST 800-53 r5 AC-2; NIST 800-53 r5 AC-6; PCI DSS v4.0.1 7.2,1,supported,1,partial_source_backed,partial_source_backed_control_refs
admin-inactive-keys,Admin user/service account with active access keys that are inactive for over 90 days,policy,policy,event,high,active,candidate,cerebro,catalog,attack_path_context,examine; test,12,2,2,10,CIS Controls v8 5; CIS Controls v8 6; NIST 800-53 r5 AC-2; NIST 800-53 r5 AC-6; NIST 800-53 r5 IA-5; NIST 800-53 r5 SC-12; PCI DSS v4.0.1 3.5; PCI DSS v4.0.1 7.2; PCI DSS v4.0.1 8.6; SOC 2 C1.1,1,supported,1,partial_source_backed,partial_source_backed_control_refs
admin-keys-unrotated,Admin user/service account with active access keys were used in the past 90 days but not rotated in the past year,policy,policy,event,high,active,candidate,cerebro,catalog,attack_path_context,examine; test,12,2,2,10,CIS Controls v8 5; CIS Controls v8 6; NIST 800-53 r5 AC-2; NIST 800-53 r5 AC-6; NIST 800-53 r5 IA-5; NIST 800-53 r5 SC-12; PCI DSS v4.0.1 3.5; PCI DSS v4.0.1 7.2; PCI DSS v4.0.1 8.6; SOC 2 C1.1,1,supported,1,partial_source_backed,partial_source_backed_control_refs
admin-keys-year-unrotated,Admin user/service account with active access keys unrotated in the past year,policy,policy,event,high,active,candidate,cerebro,catalog,attack_path_context,examine; test,12,2,2,10,CIS Controls v8 5; CIS Controls v8 6; NIST 800-53 r5 AC-2; NIST 800-53 r5 AC-6; NIST 800-53 r5 IA-5; NIST 800-53 r5 SC-12; PCI DSS v4.0.1 3.5; PCI DSS v4.0.1 7.2; PCI DSS v4.0.1 8.6; SOC 2 C1.1,1,supported,1,partial_source_backed,partial_source_backed_control_refs
ai-agent-human-approval-destructive-actions,AI Agent Human Approval Destructive Actions,policy,policy,event,high,active,candidate,ai,catalog,ai_governance,examine; interview; test,8,1,1,7,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2,2,supported,2,partial_source_backed,partial_source_backed_control_refs
ai-agent-lambda-data-access,AI Agent that is using a lambda function with access to sensitive data,policy,policy,event,high,active,candidate,ai,catalog,attack_path_context,examine; test,6,0,0,6,CIS Controls v8 5; CIS Controls v8 6; NIST 800-53 r5 AC-2; NIST 800-53 r5 AC-6; PCI DSS v4.0.1 7.2; SOC 2 CC6.2,0,,0,control_only,control_refs_not_source_backed; missing_source_coverage_refs
ai-agent-secret-redaction,AI Agent Secret Redaction,policy,policy,event,medium,active,candidate,ai,catalog,ai_governance,examine; interview; test,8,1,1,7,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2,2,supported,2,partial_source_backed,partial_source_backed_control_refs
ai-agent-tool-allowlist-required,AI Agent Tool Allowlist Required,policy,policy,event,medium,active,candidate,ai,catalog,ai_governance,examine; interview; test,8,1,1,7,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2,2,supported,2,partial_source_backed,partial_source_backed_control_refs
ai-bias-testing,AI Model Bias Testing Performed,policy,policy,event,high,active,candidate,ai,catalog,ai_governance,examine; interview; test,3,0,0,3,ISO 42001 6.1; ISO 42001 9.2; SOC 2 CC1.4,0,,0,control_only,control_refs_not_source_backed; missing_source_coverage_refs
ai-data-governance,AI Training Data Governance,policy,policy,event,high,active,candidate,ai,catalog,ai_governance,examine; interview; test,6,0,0,6,GDPR Article 30; GDPR Article 5; GDPR Article 6; ISO 42001 10.2; ISO 42001 7.3; SOC 2 CC6.1,0,,0,control_only,control_refs_not_source_backed; missing_source_coverage_refs
