framework,control_id,control_ref,control_family,related_framework,related_control_id,related_control_ref,related_control_family,relationship,evidence_use,rationale
CCPA,1798.100,CCPA 1798.100,CCPA 1798 Consumer Privacy Rights,CCPA,1798.110,CCPA 1798.110,CCPA 1798 Consumer Privacy Rights,disclosure_detail,review_hint,Collection notices should be reviewed with the categories of personal information disclosed to consumers.
CCPA,1798.100,CCPA 1798.100,CCPA 1798 Consumer Privacy Rights,CCPA,1798.130,CCPA 1798.130,CCPA 1798 Consumer Privacy Rights,request_process_dependency,review_hint,"Notice findings should prompt review of intake, verification, response, and disclosure procedures for consumer requests."
CCPA,1798.120,CCPA 1798.120,CCPA 1798 Consumer Privacy Rights,CCPA,1798.125,CCPA 1798.125,CCPA 1798 Consumer Privacy Rights,non_retaliation_dependency,review_hint,Opt-out exceptions should be checked against non-retaliation evidence for the same consumer journey.
CCPA,1798.120,CCPA 1798.120,CCPA 1798 Consumer Privacy Rights,CCPA,1798.135,CCPA 1798.135,CCPA 1798 Consumer Privacy Rights,opt_out_mechanism_dependency,review_hint,"Opt-out rights need the operating mechanism, signal handling, and consumer-facing method evidence before closure."
EU AI Act,Art.13,EU AI Act Art.13,EU AI Act Art. Articles,EU AI Act,Art.14,EU AI Act Art.14,EU AI Act Art. Articles,deployer_operation_dependency,review_hint,Transparency information should be reviewed with human oversight instructions so deployers can operate the system within approved limits.
EU AI Act,Art.13,EU AI Act Art.13,EU AI Act Art. Articles,EU AI Act,Art.26,EU AI Act Art.26,EU AI Act Art. Articles,deployer_obligation_dependency,review_hint,"Provider information is review context for the deployer monitoring, input-data, and human oversight obligations."
EU AI Act,Art.72,EU AI Act Art.72,EU AI Act Art. Articles,EU AI Act,Art.12,EU AI Act Art.12,EU AI Act Art. Articles,monitoring_record_dependency,review_hint,Post-market monitoring evidence should be checked against retained logs and records for the same high-risk system.
EU AI Act,Art.72,EU AI Act Art.72,EU AI Act Art. Articles,EU AI Act,Art.55,EU AI Act Art.55,EU AI Act Art. Articles,systemic_risk_dependency,review_hint,"General-purpose AI systemic-risk monitoring should link to model evaluation, incident, and mitigation evidence when the model is in scope."
EU AI Act,Art.9,EU AI Act Art.9,EU AI Act Art. Articles,EU AI Act,Art.10,EU AI Act Art.10,EU AI Act Art. Articles,high_risk_system_dependency,review_hint,"High-risk AI risk management should be reviewed with training, validation, and testing data governance evidence for the same system."
EU AI Act,Art.9,EU AI Act Art.9,EU AI Act Art. Articles,EU AI Act,Art.15,EU AI Act Art.15,EU AI Act Art. Articles,technical_control_dependency,review_hint,"Risk management evidence should point reviewers to accuracy, robustness, and cybersecurity controls for the assessed high-risk system."
GDPR,Article 32,GDPR Article 32,GDPR Article Articles,GDPR,Article 33,GDPR Article 33,GDPR Article Articles,evidence_dependency,review_hint,Security-of-processing findings should prompt breach-notification readiness review for the same processing activity.
GDPR,Article 32,GDPR Article 32,GDPR Article Articles,GDPR,Article 34,GDPR Article 34,GDPR Article Articles,evidence_dependency,review_hint,Security-of-processing findings should prompt data-subject notification readiness review when personal-data impact is plausible.
GDPR,Article 35,GDPR Article 35,GDPR Article Articles,GDPR,Article 22,GDPR Article 22,GDPR Article Articles,automated_decision_dependency,review_hint,DPIA evidence should be reviewed with automated-decision safeguards when the processing affects people through profiling or consequential decisions.
