tag,tag_kind,tag_source,finding_id,name,pack_id,source_id,evaluation_mode,severity,status,maturity
access,routing,catalog,aws-access-analyzer-unused-access-finding,AWS Access Analyzer Unused Access Finding,policy,policy,event,medium,active,candidate
access,routing,catalog,cerebro-high-risk-api-access,Cerebro Active High-Risk API Access Posture,cerebro,cerebro,event,high,open,test
access,routing,catalog,gcp-log-sink-access,GCP Log Sink Access Restricted,policy,policy,event,high,active,candidate
access,routing,catalog,secrets-least-privilege,Secrets Least Privilege Access,policy,policy,event,medium,active,candidate
access-analyzer,routing,catalog,aws-access-analyzer-unused-access-finding,AWS Access Analyzer Unused Access Finding,policy,policy,event,medium,active,candidate
access-analyzer,routing,catalog,aws-iam-access-analyzer-enabled,IAM Access Analyzer Enabled,policy,policy,event,medium,active,candidate
access-control,routing,catalog,ai-rag-vector-index-access-control,AI Rag Vector Index Access Control,policy,policy,event,medium,active,candidate
access-control,routing,catalog,azure-ad-guest-access-restricted,Azure AD Guest Access Restricted,policy,policy,event,medium,active,candidate
access-control,routing,catalog,duo-active-user-mfa-not-enforced,Duo Active User Without Enforced MFA,duo,duo,event,medium,open,test
access-control,routing,catalog,endpoint-jamf-screenlock,Jamf Mobile Devices Without Screen Lock,policy,policy,event,medium,active,candidate
access-control,routing,catalog,endpoint-screenlock-configured,Endpoint Screen Lock Configured,policy,policy,event,medium,active,candidate
access-control,routing,catalog,gcp-storage-uniform-bucket-access,GCP Storage Uniform Bucket Access,policy,policy,event,medium,active,candidate
access-control,routing,catalog,hipaa-access-controls,HIPAA Unique User Identification,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-atlassian-duplicate-email,Atlassian Duplicate Account Emails,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-atlassian-terminated-active-account,Atlassian Terminated Accounts Still Active,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-auth0-duplicate-email,Auth0 Duplicate Account Emails,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-auth0-terminated-active-account,Auth0 Terminated Accounts Still Active,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-cyberark-deprovision,CyberArk Accounts Deprovisioned on Termination,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-cyberark-duplicate-email,Cyberark Duplicate Account Emails,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-cyberark-terminated-active-account,Cyberark Terminated Accounts Still Active,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-duo-deprovision,Duo Accounts Deprovisioned on Termination,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-duo-duplicate-email,Duo Duplicate Account Emails,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-duo-terminated-active-account,Duo Terminated Accounts Still Active,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-entra-duplicate-email,Entra Duplicate Account Emails,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-entra-risky-duplicate-email,Entra Risky Duplicate Account Emails,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-entra-risky-terminated-active-account,Entra Risky Terminated Accounts Still Active,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-entra-terminated-active-account,Entra Terminated Accounts Still Active,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-forgerock-deprovision,ForgeRock Accounts Deprovisioned on Termination,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-forgerock-duplicate-email,Forgerock Duplicate Account Emails,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-forgerock-terminated-active-account,Forgerock Terminated Accounts Still Active,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-github-deprovision,GitHub Accounts Deprovisioned on Termination,policy,policy,event,high,active,candidate
access-control,routing,catalog,identity-github-duplicate-email,Github Duplicate Account Emails,policy,policy,event,high,active,candidate
