scope_type,scope,evidence_type,assessment_methods,auditor_guidance,risk_statement,remediation_intent,false_positives
defaults,global,control_state,examine; test,"Confirm the evidence timestamp, asset or subject owner, scope, exception status, and mapped control references before relying on the finding for an audit conclusion.",The mapped control may not be operating effectively for the assessment period.,"Restore the assessed subject to the expected control state, preserve remediation evidence, and document any accepted risk or compensating control.","A compensating control satisfies the mapped control objective and is documented for auditor review.; Inventory, ownership, or policy evidence is stale, incomplete, or not yet synchronized.; The subject is outside the assessment scope or has a documented exception for the audit period."
evidence_mode,cel,resource_state,examine; test,Review the normalized resource snapshot and the evaluated policy conditions to confirm the failed configuration state.,,,
evidence_mode,event,source_event,examine; test,"Review the normalized event, affected subject, current state, owner, and any linked remediation evidence before relying on the finding.",,,
evidence_mode,manual,manual_attestation,examine; interview,"Confirm the attestation owner, approval trail, review date, and supporting document evidence.",,,
evidence_mode,query,query_result,examine,"Review each returned query row as an exception candidate, validate row-level scope, and retain the query result as audit evidence.",,,
domain,ai,ai_governance,examine; interview; test,,"AI governance, oversight, monitoring, or safety controls may not be operating effectively for the model or system.","Update AI inventory, risk assessment, oversight, monitoring, or guardrail evidence and document owner approval.",
domain,api,application_access_control,,,Unauthenticated or weakly controlled application interfaces may expose data or functionality without sufficient authorization evidence.,"Enforce authentication and authorization, validate exposed routes, and retain test evidence for the protected endpoint.",
domain,aws,cloud_configuration,,,Cloud resource configuration may not satisfy the mapped security or compliance control.,"Update the cloud resource configuration, validate the effective state, and retain provider evidence for the changed setting.",
domain,azure,cloud_configuration,,,Cloud resource configuration may not satisfy the mapped security or compliance control.,"Update the Azure resource configuration, validate the effective state, and retain provider evidence for the changed setting.",
domain,backup,resilience_control,,,"Backup, retention, or recovery controls may not provide sufficient operating evidence for resilience requirements.",Enable the required backup or retention setting and preserve restore-test or configuration evidence.,
domain,cerebro,attack_path_context,,,"Correlated resource context indicates a control weakness that may increase privilege, exposure, or data-risk impact.","Remediate the underlying resource state, reduce the correlated attack path, and retain graph/evidence context for review.",
domain,certificate,cryptographic_control,,,"Certificate lifecycle or cryptographic configuration may not satisfy confidentiality, integrity, or availability expectations.","Renew, rotate, or reconfigure certificates and retain evidence of the effective cryptographic state.",
domain,cicd,delivery_pipeline_control,,,"Build, deployment, or release controls may allow unauthorized changes, secret exposure, or unreviewed execution.","Harden pipeline configuration, protect credentials and runners, and retain pipeline configuration evidence.",
domain,cloud,cloud_configuration,,,"Cloud exposure, identity, or resource posture may not satisfy the mapped security or compliance control.","Update the cloud resource or identity state, validate effective access or exposure, and retain provider evidence.",
domain,collaboration,collaboration_control,,,"Collaboration access, sharing, authentication, or application controls may not provide sufficient collaboration evidence.","Update collaboration user, channel, app, sharing, or authentication settings and retain admin evidence.",
domain,compliance,control_procedure,examine; interview,,"Required governance, review, approval, or procedural evidence may be missing or incomplete.","Complete the required procedure, attach supporting evidence, and record owner approval.",
domain,container,workload_configuration,,,"Container workload posture may not satisfy hardening, vulnerability, or runtime control expectations.","Rebuild or reconfigure the workload, validate runtime posture, and retain deployment evidence.",
domain,database,data_store_configuration,,,"Database configuration may not satisfy encryption, backup, access, or exposure controls.","Update database configuration, validate effective state, and retain provider evidence.",
domain,dspm,data_security_posture,,,"Sensitive data discovery, classification, access, or protection evidence may be incomplete.","Update data classification, access controls, retention, or protection settings and retain evidence.",
domain,endpoint,endpoint_posture,,,"Endpoint posture, protection, or management evidence may not satisfy operational security controls.","Restore endpoint protection, update device posture, and retain agent or MDM evidence.",
domain,gcp,cloud_configuration,,,Cloud resource configuration may not satisfy the mapped security or compliance control.,"Update the Google Cloud resource configuration, validate the effective state, and retain provider evidence for the changed setting.",
domain,github,source_control_governance,,,"Source control, dependency, repository, or code-security evidence may not satisfy change or vulnerability controls.","Update repository controls, remediate the alert or configuration, and retain repository evidence.",
