ledger_version,catalog_version,finding_id,finding_name,pack_id,source_id,reason,owner,review_state,reviewed_at,finding_control_refs
2026-07-14,2026-05-21,contract-billing-mismatch,Contract and Billing Mismatch,policy,policy,"The finding targets contract-to-billing reconciliation. No named compliance profile currently selects the internal financial control family, and no reviewed crosswalk supports an external profile link.",compliance-mapping,reviewed,2026-07-14,Cerebro Financial Controls FIN-2; SOC 2 PI1.4
2026-07-14,2026-05-21,hubspot-excessive-discount,Excessive Discount on Small Deal,policy,policy,"The finding targets sales discount authorization. No named compliance profile currently selects the internal revenue or financial control families, and no reviewed crosswalk supports an external profile link.",compliance-mapping,reviewed,2026-07-14,Cerebro Financial Controls FIN-3; Cerebro Revenue Operations REV-2
2026-07-14,2026-05-21,hubspot-no-next-step,Open Deal Without Next Step,policy,policy,"The finding targets sales pipeline execution. No named compliance profile currently selects the internal revenue operations control family, and no reviewed crosswalk supports an external profile link.",compliance-mapping,reviewed,2026-07-14,Cerebro Revenue Operations REV-1
2026-07-14,2026-05-21,hubspot-stale-deal,Stale High-Value Deal,policy,policy,"The finding targets sales pipeline freshness and forecasting. No named compliance profile currently selects the internal revenue operations control family, and no reviewed crosswalk supports an external profile link.",compliance-mapping,reviewed,2026-07-14,Cerebro Revenue Operations REV-1; Cerebro Revenue Operations REV-5
2026-07-14,2026-05-21,org-bottleneck-critical,Single Person Bridges Multiple Teams,policy,policy,"The finding targets organizational dependency concentration. No named compliance profile currently selects the internal organizational resilience control family, and no reviewed crosswalk supports an external profile link.",compliance-mapping,reviewed,2026-07-14,Cerebro Organizational Resilience ORG-1; Cerebro Organizational Resilience ORG-3
2026-07-14,2026-05-21,org-bus-factor-critical,Critical System With Bus Factor 1,policy,policy,"The finding targets single-person operational dependency. No named compliance profile currently selects the internal organizational resilience control family, and no reviewed crosswalk supports an external profile link.",compliance-mapping,reviewed,2026-07-14,Cerebro Organizational Resilience ORG-1; Cerebro Organizational Resilience ORG-4
2026-07-14,2026-05-21,org-customer-relationship-health-low,Customer Relationship Structural Health Low,policy,policy,"The finding targets customer relationship concentration and health. No named compliance profile currently selects the internal organizational resilience or revenue operations control families, and no reviewed crosswalk supports an external profile link.",compliance-mapping,reviewed,2026-07-14,Cerebro Organizational Resilience ORG-2; Cerebro Revenue Operations REV-5
2026-07-14,2026-05-21,org-customer-topology-churn-risk,Customer Topology Matches Churn Pattern,policy,policy,"The finding targets customer relationship topology and churn risk. No named compliance profile currently selects the internal organizational resilience or revenue operations control families, and no reviewed crosswalk supports an external profile link.",compliance-mapping,reviewed,2026-07-14,Cerebro Organizational Resilience ORG-2; Cerebro Revenue Operations REV-5
2026-07-14,2026-05-21,org-customer-touchpoints-low,Customer Touchpoint Coverage Too Thin,policy,policy,"The finding targets customer contact coverage. No named compliance profile currently selects the internal organizational resilience control family, and no reviewed crosswalk supports an external profile link.",compliance-mapping,reviewed,2026-07-14,Cerebro Organizational Resilience ORG-2
2026-07-14,2026-05-21,org-relationship-decay-customer,Customer Relationship Weakening,policy,policy,"The finding targets customer relationship decay. No named compliance profile currently selects the internal organizational resilience or revenue operations control families, and no reviewed crosswalk supports an external profile link.",compliance-mapping,reviewed,2026-07-14,Cerebro Organizational Resilience ORG-2; Cerebro Revenue Operations REV-5
2026-07-14,2026-05-21,org-silo-shared-dependency,Teams Sharing Dependencies With No Communication,policy,policy,"The finding targets coordination risk across teams that share dependencies. No named compliance profile currently selects the internal organizational resilience control family, and no reviewed crosswalk supports an external profile link.",compliance-mapping,reviewed,2026-07-14,Cerebro Organizational Resilience ORG-3
2026-07-14,2026-05-21,org-tenure-risk,Long-Tenured Sole Expert Showing Disengagement,policy,policy,"The finding targets knowledge concentration and employee disengagement. No named compliance profile currently selects the internal organizational resilience control family, and no reviewed crosswalk supports an external profile link.",compliance-mapping,reviewed,2026-07-14,Cerebro Organizational Resilience ORG-1; Cerebro Organizational Resilience ORG-4
2026-07-14,2026-05-21,sf-close-date-slip,Close Date Pushed More Than Twice,policy,policy,"The finding targets sales forecast changes. No named compliance profile currently selects the internal revenue operations control family, and no reviewed crosswalk supports an external profile link.",compliance-mapping,reviewed,2026-07-14,Cerebro Revenue Operations REV-6
2026-07-14,2026-05-21,sf-stale-enterprise-opp,Stale Enterprise Opportunity,policy,policy,"The finding targets sales pipeline freshness and forecasting. No named compliance profile currently selects the internal revenue operations control family, and no reviewed crosswalk supports an external profile link.",compliance-mapping,reviewed,2026-07-14,Cerebro Revenue Operations REV-1; Cerebro Revenue Operations REV-5
2026-07-14,2026-05-21,stripe-large-refund,Large Refund Without Approval,policy,policy,"The finding targets refund approval. No named compliance profile currently selects the internal financial control family, and no reviewed crosswalk supports an external profile link.",compliance-mapping,reviewed,2026-07-14,Cerebro Financial Controls FIN-3
2026-07-14,2026-05-21,stripe-payment-failure-streak,Consecutive Payment Failures,policy,policy,"The finding targets customer payment collection. No named compliance profile currently selects the internal revenue operations control family, and no reviewed crosswalk supports an external profile link.",compliance-mapping,reviewed,2026-07-14,Cerebro Revenue Operations REV-4; Cerebro Revenue Operations REV-5
2026-07-14,2026-05-21,stripe-trial-no-payment-method,Trial Ending Without Payment Method,policy,policy,"The finding targets trial conversion and payment readiness. No named compliance profile currently selects the internal revenue operations control family, and no reviewed crosswalk supports an external profile link.",compliance-mapping,reviewed,2026-07-14,Cerebro Revenue Operations REV-3
