source_id,source_name,dimension_id,dimension_type,support_level,high_value,families,evidence_types,control_domains,control_refs,control_families,purpose
ai_control_runtime,AI Control Runtime,ai_runtime_control_states,lifecycle_state,supported,true,ai_runtime_control; model_monitoring,ai_monitoring; logging_configuration,logging_monitoring; security_operations,CCPA 1798.150; CIS Controls v8 17; CIS Controls v8 8; EU AI Act Art.12; EU AI Act Art.72; GDPR Article 33; GDPR Article 34; HIPAA 164.308(a)(6); HIPAA 164.312(b); ISO 27001:2022 A.5.24; ISO 27001:2022 A.5.25; ISO 27001:2022 A.5.26; ISO 27001:2022 A.8.15; ISO 27001:2022 A.8.16; ISO 42001 10.1; ISO 42001 10.2; ISO 42001 9.1; ISO 42001 A.8.2; NIST 800-53 r5 AU-2; NIST 800-53 r5 AU-6; NIST 800-53 r5 IR-4; NIST 800-53 r5 SI-4; SOC 2 CC7.1; SOC 2 CC7.2; SOC 2 CC7.3; SOC 2 CC7.4,CCPA 1798 Consumer Privacy Rights; CIS Controls v8 17 Incident Response Management; CIS Controls v8 8 Audit Log Management; EU AI Act Art. Articles; GDPR Article Articles; HIPAA 164.308 Administrative Safeguards; HIPAA 164.312 Technical Safeguards; ISO 27001:2022 A.5 Organizational Controls; ISO 27001:2022 A.8 Technology Controls; ISO 42001 10 Improvement; ISO 42001 9 Performance Evaluation; ISO 42001 A.8 Information for Interested Parties; NIST 800-53 r5 AU Audit and Accountability; NIST 800-53 r5 IR Incident Response; NIST 800-53 r5 SI System and Information Integrity; SOC 2 CC7 System Operations,"Declare source-backed AI runtime control state, thresholds, observed values, alert route, and observation-time evidence."
ai_deployer_review,AI Deployer Review,ai_deployer_obligations,lifecycle_state,supported,true,ai_deployer_obligation,ai_governance; control_owner_review,compliance_operations,CCPA 1798.130; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.17; EU AI Act Art.26; EU AI Act Art.27; EU AI Act Art.50; EU AI Act Art.9; GDPR Article 24; GDPR Article 25; HIPAA 164.308(a)(1)(ii)(A); HIPAA 164.316(a); ISO 27001:2022 A.5.1; ISO 27001:2022 A.5.35; ISO 27001:2022 A.5.36; ISO 42001 6.1; ISO 42001 6.2; ISO 42001 7.2; ISO 42001 7.3; ISO 42001 8.4; ISO 42001 9.2; ISO 42001 9.3; ISO 42001 A.8.3; ISO 42001 A.9.2; NIST 800-53 r5 CA-2; NIST 800-53 r5 CA-7; SOC 2 CC1.2; SOC 2 CC2.1; SOC 2 CC4.1,"CCPA 1798 Consumer Privacy Rights; EU AI Act Art. Articles; GDPR Article Articles; HIPAA 164.308 Administrative Safeguards; HIPAA 164.316 Policies and Documentation; ISO 27001:2022 A.5 Organizational Controls; ISO 42001 6 Planning; ISO 42001 7 Support; ISO 42001 8 Operation; ISO 42001 9 Performance Evaluation; ISO 42001 A.8 Information for Interested Parties; ISO 42001 A.9 Use of AI Systems; NIST 800-53 r5 CA Assessment, Authorization, and Monitoring; SOC 2 CC1 Control Environment; SOC 2 CC2 Communication and Information; SOC 2 CC4 Monitoring Activities","Declare source-backed deployer role, transparency notice, human oversight, operator training, monitoring owner, and review evidence."
ai_evaluation_store,AI Evaluation Store,ai_risk_evaluations,lifecycle_state,supported,true,ai_risk_evaluation; model_evaluation,ai_evaluation; risk_assessment,compliance_operations,CCPA 1798.130; EU AI Act Art.10; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.17; EU AI Act Art.26; EU AI Act Art.27; EU AI Act Art.9; GDPR Article 24; GDPR Article 25; HIPAA 164.308(a)(1)(ii)(A); HIPAA 164.316(a); ISO 27001:2022 A.5.1; ISO 27001:2022 A.5.35; ISO 27001:2022 A.5.36; ISO 42001 6.1; ISO 42001 6.2; ISO 42001 8.4; ISO 42001 9.2; ISO 42001 9.3; ISO 42001 9.4; ISO 42001 A.6.2.4; ISO 42001 A.7.4; NIST 800-53 r5 CA-2; NIST 800-53 r5 CA-7; SOC 2 CC1.2; SOC 2 CC2.1; SOC 2 CC4.1,"CCPA 1798 Consumer Privacy Rights; EU AI Act Art. Articles; GDPR Article Articles; HIPAA 164.308 Administrative Safeguards; HIPAA 164.316 Policies and Documentation; ISO 27001:2022 A.5 Organizational Controls; ISO 42001 6 Planning; ISO 42001 8 Operation; ISO 42001 9 Performance Evaluation; ISO 42001 A.6 Lifecycle; ISO 42001 A.7 Data; NIST 800-53 r5 CA Assessment, Authorization, and Monitoring; SOC 2 CC1 Control Environment; SOC 2 CC2 Communication and Information; SOC 2 CC4 Monitoring Activities","Declare source-backed AI risk evaluation, test method, result, mitigation, and evaluation-date evidence."
ai_system_register,AI System Register,ai_system_records,entity_family,supported,true,ai_model; ai_system,ai_governance; ai_inventory,asset_inventory; compliance_operations,CCPA 1798.100; CCPA 1798.130; CIS Controls v8 1; CIS Controls v8 2; CIS Controls v8 4; EU AI Act Art.11; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.26; EU AI Act Art.27; EU AI Act Art.9; GDPR Article 24; GDPR Article 25; GDPR Article 30; HIPAA 164.308(a)(1)(ii)(A); HIPAA 164.316(a); ISO 27001:2022 A.5.1; ISO 27001:2022 A.5.35; ISO 27001:2022 A.5.36; ISO 27001:2022 A.5.9; ISO 27001:2022 A.8.9; ISO 42001 6.1; ISO 42001 6.2; ISO 42001 8.4; ISO 42001 9.2; ISO 42001 9.3; ISO 42001 A.2.2; ISO 42001 A.5.2; NIST 800-53 r5 AC-3; NIST 800-53 r5 CA-2; NIST 800-53 r5 CA-7; NIST 800-53 r5 CM-6; NIST 800-53 r5 CM-8; SOC 2 CC1.2; SOC 2 CC2.1; SOC 2 CC4.1; SOC 2 CC6.1; SOC 2 CC7.1,"CCPA 1798 Consumer Privacy Rights; CIS Controls v8 1 Inventory and Control of Enterprise Assets; CIS Controls v8 2 Inventory and Control of Software Assets; CIS Controls v8 4 Secure Configuration of Enterprise Assets and Software; EU AI Act Art. Articles; GDPR Article Articles; HIPAA 164.308 Administrative Safeguards; HIPAA 164.316 Policies and Documentation; ISO 27001:2022 A.5 Organizational Controls; ISO 27001:2022 A.8 Technology Controls; ISO 42001 6 Planning; ISO 42001 8 Operation; ISO 42001 9 Performance Evaluation; ISO 42001 A.2 Policies; ISO 42001 A.5 Impact Assessment; NIST 800-53 r5 AC Access Control; NIST 800-53 r5 CA Assessment, Authorization, and Monitoring; NIST 800-53 r5 CM Configuration Management; SOC 2 CC1 Control Environment; SOC 2 CC2 Communication and Information; SOC 2 CC4 Monitoring Activities; SOC 2 CC6 Logical and Physical Access; SOC 2 CC7 System Operations","Declare source-backed AI system identity, owner, intended use, risk class, data source, approval, and review evidence."
anthropic,Anthropic,api_keys,app_entitlement,supported,true,api_key,identity_configuration,identity_access,CIS Controls v8 5; CIS Controls v8 6; ISO 27001:2022 A.5.15; ISO 27001:2022 A.5.17; ISO 27001:2022 A.5.18; NIST 800-53 r5 AC-2; NIST 800-53 r5 AC-3; NIST 800-53 r5 AC-6; NIST 800-53 r5 IA-5; PCI DSS v4.0.1 7.2; PCI DSS v4.0.1 8.3; SOC 2 CC6.1; SOC 2 CC6.2; SOC 2 CC6.3; SOC 2 CC6.6,CIS Controls v8 5 Account Management; CIS Controls v8 6 Access Control Management; ISO 27001:2022 A.5 Organizational Controls; NIST 800-53 r5 AC Access Control; NIST 800-53 r5 IA Identification and Authentication; PCI DSS v4.0.1 7 Need-to-Know Access; PCI DSS v4.0.1 8 Identity and Authentication; SOC 2 CC6 Logical and Physical Access,"Declare source-backed Anthropic asset_inventory, identity_access evidence lanes."
anthropic,Anthropic,organization_profile,entity_family,supported,true,organization,source_snapshot,asset_inventory,CCPA 1798.100; CIS Controls v8 1; CIS Controls v8 2; CIS Controls v8 4; EU AI Act Art.11; GDPR Article 30; ISO 27001:2022 A.5.9; ISO 27001:2022 A.8.9; ISO 42001 A.2.2; NIST 800-53 r5 AC-3; NIST 800-53 r5 CM-6; NIST 800-53 r5 CM-8; SOC 2 CC6.1; SOC 2 CC7.1,CCPA 1798 Consumer Privacy Rights; CIS Controls v8 1 Inventory and Control of Enterprise Assets; CIS Controls v8 2 Inventory and Control of Software Assets; CIS Controls v8 4 Secure Configuration of Enterprise Assets and Software; EU AI Act Art. Articles; GDPR Article Articles; ISO 27001:2022 A.5 Organizational Controls; ISO 27001:2022 A.8 Technology Controls; ISO 42001 A.2 Policies; NIST 800-53 r5 AC Access Control; NIST 800-53 r5 CM Configuration Management; SOC 2 CC6 Logical and Physical Access; SOC 2 CC7 System Operations,"Declare source-backed Anthropic asset_inventory, identity_access evidence lanes."
anthropic,Anthropic,rate_limits,lifecycle_state,supported,true,rate_limit; workspace_rate_limit,configuration_state,security_operations,CCPA 1798.150; CIS Controls v8 17; CIS Controls v8 8; GDPR Article 33; GDPR Article 34; HIPAA 164.308(a)(6); ISO 27001:2022 A.5.24; ISO 27001:2022 A.5.25; ISO 27001:2022 A.5.26; ISO 27001:2022 A.8.16; ISO 27001:2022 A.8.8; ISO 42001 10.1; ISO 42001 10.2; NIST 800-53 r5 IR-4; NIST 800-53 r5 SI-4; SOC 2 CC7.1; SOC 2 CC7.2; SOC 2 CC7.3; SOC 2 CC7.4,CCPA 1798 Consumer Privacy Rights; CIS Controls v8 17 Incident Response Management; CIS Controls v8 8 Audit Log Management; GDPR Article Articles; HIPAA 164.308 Administrative Safeguards; ISO 27001:2022 A.5 Organizational Controls; ISO 27001:2022 A.8 Technology Controls; ISO 42001 10 Improvement; NIST 800-53 r5 IR Incident Response; NIST 800-53 r5 SI System and Information Integrity; SOC 2 CC7 System Operations,"Declare source-backed Anthropic asset_inventory, identity_access evidence lanes."
anthropic,Anthropic,users_and_access,app_entitlement,supported,true,invite; user; workspace_member,identity_configuration,identity_access,CIS Controls v8 5; CIS Controls v8 6; ISO 27001:2022 A.5.15; ISO 27001:2022 A.5.17; ISO 27001:2022 A.5.18; NIST 800-53 r5 AC-2; NIST 800-53 r5 AC-3; NIST 800-53 r5 AC-6; NIST 800-53 r5 IA-5; PCI DSS v4.0.1 7.2; PCI DSS v4.0.1 8.3; SOC 2 CC6.1; SOC 2 CC6.2; SOC 2 CC6.3; SOC 2 CC6.6,CIS Controls v8 5 Account Management; CIS Controls v8 6 Access Control Management; ISO 27001:2022 A.5 Organizational Controls; NIST 800-53 r5 AC Access Control; NIST 800-53 r5 IA Identification and Authentication; PCI DSS v4.0.1 7 Need-to-Know Access; PCI DSS v4.0.1 8 Identity and Authentication; SOC 2 CC6 Logical and Physical Access,"Declare source-backed Anthropic asset_inventory, identity_access evidence lanes."
anthropic,Anthropic,workload_identity,app_entitlement,supported,true,federation_issuer; federation_rule; service_account,identity_configuration,identity_access,CIS Controls v8 5; CIS Controls v8 6; ISO 27001:2022 A.5.15; ISO 27001:2022 A.5.17; ISO 27001:2022 A.5.18; NIST 800-53 r5 AC-2; NIST 800-53 r5 AC-3; NIST 800-53 r5 AC-6; NIST 800-53 r5 IA-5; PCI DSS v4.0.1 7.2; PCI DSS v4.0.1 8.3; SOC 2 CC6.1; SOC 2 CC6.2; SOC 2 CC6.3; SOC 2 CC6.6,CIS Controls v8 5 Account Management; CIS Controls v8 6 Access Control Management; ISO 27001:2022 A.5 Organizational Controls; NIST 800-53 r5 AC Access Control; NIST 800-53 r5 IA Identification and Authentication; PCI DSS v4.0.1 7 Need-to-Know Access; PCI DSS v4.0.1 8 Identity and Authentication; SOC 2 CC6 Logical and Physical Access,"Declare source-backed Anthropic asset_inventory, identity_access evidence lanes."
anthropic,Anthropic,workspaces,entity_family,supported,true,workspace,source_snapshot,asset_inventory,CCPA 1798.100; CIS Controls v8 1; CIS Controls v8 2; CIS Controls v8 4; EU AI Act Art.11; GDPR Article 30; ISO 27001:2022 A.5.9; ISO 27001:2022 A.8.9; ISO 42001 A.2.2; NIST 800-53 r5 AC-3; NIST 800-53 r5 CM-6; NIST 800-53 r5 CM-8; SOC 2 CC6.1; SOC 2 CC7.1,CCPA 1798 Consumer Privacy Rights; CIS Controls v8 1 Inventory and Control of Enterprise Assets; CIS Controls v8 2 Inventory and Control of Software Assets; CIS Controls v8 4 Secure Configuration of Enterprise Assets and Software; EU AI Act Art. Articles; GDPR Article Articles; ISO 27001:2022 A.5 Organizational Controls; ISO 27001:2022 A.8 Technology Controls; ISO 42001 A.2 Policies; NIST 800-53 r5 AC Access Control; NIST 800-53 r5 CM Configuration Management; SOC 2 CC6 Logical and Physical Access; SOC 2 CC7 System Operations,"Declare source-backed Anthropic asset_inventory, identity_access evidence lanes."
