step,layer,definition
1,defaults,Start with shared audit defaults from internal/compliance/policy_rule_extensions.yaml.
2,evidence mode,"Apply mode-specific defaults for cel, query, graph, manual, or event detections."
3,policy domain,Apply the domain block keyed by the policy folder under policies/ for policy rules.
4,finding domain aliases,"Resolve non-policy detections to YAML domains by finding ID, pack, source, or tag."
5,policy or finding override,Apply any explicit policy ID or finding ID override when a rule needs different audit language.
6,source catalog fields,"Use policy YAML and public detection catalog fields as the strongest direct source for controls, tags, severity, evidence, and audit language."
7,framework source registry,"Require internal/compliance/framework_sources.yaml to define one authority, version, lifecycle, source URL, and evidence model for every cataloged framework."
8,source coverage reconciliation,"Compare finding control_refs with source coverage matched_control_refs so direct, source-backed, and control-only mappings are visible."
9,mapping confidence,"Classify each finding-control edge as high, medium, or review using matched source coverage and YAML source capability status."
10,compliance review tags,"Derive framework:, control:, and control-family: tags from control_refs for spreadsheet review. These do not replace runtime finding tags."
11,framework review areas,"Group direct control refs from internal/compliance/framework_review_areas.yaml so reviewers can see management-system, safeguard, privacy, AI, and payment-card work queues without changing finding evidence."
12,control relationships,"Add alias, child requirement, sibling scope, and evidence dependency hints from internal/compliance/control_relationships.yaml. These links do not make a finding source-backed."
13,evidence capabilities,Compare source and dimension capabilities from internal/compliance/evidence_capabilities.yaml with observed source coverage refs so YAML coverage gaps are visible.
14,quality gates,"Fail generation when a finding lacks framework tags, control refs, evidence mode, resolved audit language, rationale, or source capability status."
15,control gap status,"Classify each framework control as direct, indirect, or no coverage so mapped controls and review-only gaps are visible."
16,control evidence requirements,"Expand first-class evidence requirements from internal/compliance/control_evidence_requirements.yaml across every framework control, then join them with source capabilities, catalog evidence expectations, and framework source metadata."
17,claim rules,"Apply framework-specific claim strength, sufficiency rule, coverage claim, overclaim guard, and adjacent-control rationale before exporting requirement rows."
18,claim status,"Compute claim status from source coverage, requirement matches, and framework control coverage instead of letting a control reference imply coverage."
19,tag contract,"Export control-derived compliance tags with runtime export policy, claim status, source basis, and guardrails. Runtime candidates require source evidence or partial source evidence."
20,coverage candidates,"Create author review rows for controls that need source backing, source-backed findings, mapping review, or scope decisions before coverage can be claimed."
21,workbook manifest,"Emit a sheet-order manifest with row grain, primary keys, review questions, source authority, and default workbook inclusion for every generated table."
22,spreadsheet,"Generate CSV rows from YAML, the public catalog, and derived review layers. Do not edit spreadsheet rows back into source by hand."
