rule_id,name,domain,path,status,severity,category,resource,resource_type,source_id,evidence_mode,evidence_type,assessment_methods,frameworks,control_refs,control_families,metadata_tags,derived_tags,all_tags,risk_categories,mitre,remediation,risk_statement,remediation_intent,auditor_guidance
account-lateral-dormant,Account with a lateral movement finding to admin is inactive for over 90 days,cerebro,policies/cerebro/account-lateral-dormant.yaml,active,high,cerebro,iam::user|iam::service_account,,policy,cel,attack_path_context,examine; test,CIS Controls v8; NIST 800-53 r5; PCI DSS v4.0.1; SOC 2,CIS Controls v8 5; CIS Controls v8 6; NIST 800-53 r5 AC-2; NIST 800-53 r5 AC-6; PCI DSS v4.0.1 7.2; SOC 2 CC6.2,CIS Controls v8 5 Account Management; CIS Controls v8 6 Access Control Management; NIST 800-53 r5 AC Access Control; PCI DSS v4.0.1 7 Need-to-Know Access; SOC 2 CC6 Logical and Physical Access,admin; dormant; identity; lateral-movement; wiz,assessment:examine; assessment:test; cel; cerebro; evidence:attack_path_context; policy,admin; assessment:examine; assessment:test; cel; cerebro; dormant; evidence:attack_path_context; identity; lateral-movement; policy; wiz,IDENTITY_RISK; LATERAL_MOVEMENT; PRIVILEGE_ESCALATION,Lateral Movement:T1021; Privilege Escalation:T1078,Disable or delete dormant accounts. Break the attack path to admin if the account must be retained.,"Correlated resource context indicates a control weakness that may increase privilege, exposure, or data-risk impact.","Remediate the underlying resource state, reduce the correlated attack path, and retain graph/evidence context for review.",Review the normalized resource snapshot and the evaluated policy conditions to confirm the failed configuration state.
admin-inactive-keys,Admin user/service account with active access keys that are inactive for over 90 days,cerebro,policies/cerebro/admin-inactive-keys.yaml,active,high,cerebro,iam::user|iam::service_account,,policy,cel,attack_path_context,examine; test,CIS Controls v8; NIST 800-53 r5; PCI DSS v4.0.1; SOC 2,CIS Controls v8 5; CIS Controls v8 6; NIST 800-53 r5 AC-2; NIST 800-53 r5 AC-6; NIST 800-53 r5 IA-5; NIST 800-53 r5 SC-12; PCI DSS v4.0.1 3.5; PCI DSS v4.0.1 7.2; PCI DSS v4.0.1 8.6; SOC 2 C1.1; SOC 2 CC6.1; SOC 2 CC6.2,CIS Controls v8 5 Account Management; CIS Controls v8 6 Access Control Management; NIST 800-53 r5 AC Access Control; NIST 800-53 r5 IA Identification and Authentication; NIST 800-53 r5 SC System and Communications Protection; PCI DSS v4.0.1 3 Account Data Protection; PCI DSS v4.0.1 7 Need-to-Know Access; PCI DSS v4.0.1 8 Identity and Authentication; SOC 2 C1 Confidentiality; SOC 2 CC6 Logical and Physical Access,access-keys; admin; dormant; identity; wiz,assessment:examine; assessment:test; cel; cerebro; evidence:attack_path_context; policy,access-keys; admin; assessment:examine; assessment:test; cel; cerebro; dormant; evidence:attack_path_context; identity; policy; wiz,IDENTITY_RISK; PRIVILEGE_ESCALATION,Credential Access:T1552; Persistence:T1098; Privilege Escalation:T1078,Disable or delete unused access keys. Rotate any keys that are still needed.,"Correlated resource context indicates a control weakness that may increase privilege, exposure, or data-risk impact.","Remediate the underlying resource state, reduce the correlated attack path, and retain graph/evidence context for review.",Review the normalized resource snapshot and the evaluated policy conditions to confirm the failed configuration state.
admin-keys-unrotated,Admin user/service account with active access keys were used in the past 90 days but not rotated in the past year,cerebro,policies/cerebro/admin-keys-unrotated.yaml,active,high,cerebro,iam::user|iam::service_account,,policy,cel,attack_path_context,examine; test,CIS Controls v8; NIST 800-53 r5; PCI DSS v4.0.1; SOC 2,CIS Controls v8 5; CIS Controls v8 6; NIST 800-53 r5 AC-2; NIST 800-53 r5 AC-6; NIST 800-53 r5 IA-5; NIST 800-53 r5 SC-12; PCI DSS v4.0.1 3.5; PCI DSS v4.0.1 7.2; PCI DSS v4.0.1 8.6; SOC 2 C1.1; SOC 2 CC6.1; SOC 2 CC6.2,CIS Controls v8 5 Account Management; CIS Controls v8 6 Access Control Management; NIST 800-53 r5 AC Access Control; NIST 800-53 r5 IA Identification and Authentication; NIST 800-53 r5 SC System and Communications Protection; PCI DSS v4.0.1 3 Account Data Protection; PCI DSS v4.0.1 7 Need-to-Know Access; PCI DSS v4.0.1 8 Identity and Authentication; SOC 2 C1 Confidentiality; SOC 2 CC6 Logical and Physical Access,access-keys; admin; identity; rotation; wiz,assessment:examine; assessment:test; cel; cerebro; evidence:attack_path_context; policy,access-keys; admin; assessment:examine; assessment:test; cel; cerebro; evidence:attack_path_context; identity; policy; rotation; wiz,IDENTITY_RISK; PRIVILEGE_ESCALATION,Credential Access:T1552; Persistence:T1098; Privilege Escalation:T1078,Rotate admin access keys immediately. Implement automated key rotation policy.,"Correlated resource context indicates a control weakness that may increase privilege, exposure, or data-risk impact.","Remediate the underlying resource state, reduce the correlated attack path, and retain graph/evidence context for review.",Review the normalized resource snapshot and the evaluated policy conditions to confirm the failed configuration state.
admin-keys-year-unrotated,Admin user/service account with active access keys unrotated in the past year,cerebro,policies/cerebro/admin-keys-year-unrotated.yaml,active,high,cerebro,iam::user|iam::service_account,,policy,cel,attack_path_context,examine; test,CIS Controls v8; NIST 800-53 r5; PCI DSS v4.0.1; SOC 2,CIS Controls v8 5; CIS Controls v8 6; NIST 800-53 r5 AC-2; NIST 800-53 r5 AC-6; NIST 800-53 r5 IA-5; NIST 800-53 r5 SC-12; PCI DSS v4.0.1 3.5; PCI DSS v4.0.1 7.2; PCI DSS v4.0.1 8.6; SOC 2 C1.1; SOC 2 CC6.1; SOC 2 CC6.2,CIS Controls v8 5 Account Management; CIS Controls v8 6 Access Control Management; NIST 800-53 r5 AC Access Control; NIST 800-53 r5 IA Identification and Authentication; NIST 800-53 r5 SC System and Communications Protection; PCI DSS v4.0.1 3 Account Data Protection; PCI DSS v4.0.1 7 Need-to-Know Access; PCI DSS v4.0.1 8 Identity and Authentication; SOC 2 C1 Confidentiality; SOC 2 CC6 Logical and Physical Access,access-keys; admin; identity; rotation; wiz,assessment:examine; assessment:test; cel; cerebro; evidence:attack_path_context; policy,access-keys; admin; assessment:examine; assessment:test; cel; cerebro; evidence:attack_path_context; identity; policy; rotation; wiz,IDENTITY_RISK; PRIVILEGE_ESCALATION,Credential Access:T1552; Persistence:T1098; Privilege Escalation:T1078,Rotate all admin access keys. Implement maximum key age policy.,"Correlated resource context indicates a control weakness that may increase privilege, exposure, or data-risk impact.","Remediate the underlying resource state, reduce the correlated attack path, and retain graph/evidence context for review.",Review the normalized resource snapshot and the evaluated policy conditions to confirm the failed configuration state.
ai-agent-human-approval-destructive-actions,AI Agent Human Approval Destructive Actions,ai,policies/ai/ai-agent-human-approval-destructive-actions.yaml,active,high,ai,ai::agent,,policy,cel,ai_governance,examine; interview; test,EU AI Act; ISO 42001; SOC 2,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2; SOC 2 CC7.2,EU AI Act Art. Articles; ISO 42001 A.2 Policies; ISO 42001 A.6 Lifecycle; ISO 42001 A.8 Information for Interested Parties; ISO 42001 A.9 Use of AI Systems; SOC 2 CC3 Risk Assessment; SOC 2 CC7 System Operations,agent; ai; approval; destructive-actions; generated,ai; assessment:examine; assessment:interview; assessment:test; cel; evidence:ai_governance; policy,agent; ai; approval; assessment:examine; assessment:interview; assessment:test; cel; destructive-actions; evidence:ai_governance; generated; policy,DATA_EXPOSURE; GOVERNANCE; MODEL_RISK,,"Restore agent human approval destructive actions controls to the approved state, capture owner approval, and retain evidence from the authoritative system.","AI governance, oversight, monitoring, or safety controls may not be operating effectively for the model or system.","Update AI inventory, risk assessment, oversight, monitoring, or guardrail evidence and document owner approval.",Review the normalized resource snapshot and the evaluated policy conditions to confirm the failed configuration state.
ai-agent-lambda-data-access,AI Agent that is using a lambda function with access to sensitive data,cerebro,policies/cerebro/ai-agent-lambda-data-access.yaml,active,high,cerebro,ai::agent,,policy,cel,attack_path_context,examine; test,CIS Controls v8; NIST 800-53 r5; PCI DSS v4.0.1; SOC 2,CIS Controls v8 5; CIS Controls v8 6; NIST 800-53 r5 AC-2; NIST 800-53 r5 AC-6; PCI DSS v4.0.1 7.2; SOC 2 CC6.2,CIS Controls v8 5 Account Management; CIS Controls v8 6 Access Control Management; NIST 800-53 r5 AC Access Control; PCI DSS v4.0.1 7 Need-to-Know Access; SOC 2 CC6 Logical and Physical Access,agent; ai; data-access; lambda; wiz,assessment:examine; assessment:test; cel; cerebro; evidence:attack_path_context; policy,agent; ai; assessment:examine; assessment:test; cel; cerebro; data-access; evidence:attack_path_context; lambda; policy; wiz,UNPROTECTED_DATA,Collection:T1530; Execution:T1059,Restrict Lambda function permissions. Implement data access controls for AI agent actions.,"Correlated resource context indicates a control weakness that may increase privilege, exposure, or data-risk impact.","Remediate the underlying resource state, reduce the correlated attack path, and retain graph/evidence context for review.",Review the normalized resource snapshot and the evaluated policy conditions to confirm the failed configuration state.
ai-agent-secret-redaction,AI Agent Secret Redaction,ai,policies/ai/ai-agent-secret-redaction.yaml,active,medium,ai,ai::agent,,policy,cel,ai_governance,examine; interview; test,EU AI Act; ISO 42001; SOC 2,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2; SOC 2 CC7.2,EU AI Act Art. Articles; ISO 42001 A.2 Policies; ISO 42001 A.6 Lifecycle; ISO 42001 A.8 Information for Interested Parties; ISO 42001 A.9 Use of AI Systems; SOC 2 CC3 Risk Assessment; SOC 2 CC7 System Operations,agent; ai; generated; secrets,ai; assessment:examine; assessment:interview; assessment:test; cel; evidence:ai_governance; policy,agent; ai; assessment:examine; assessment:interview; assessment:test; cel; evidence:ai_governance; generated; policy; secrets,DATA_EXPOSURE; GOVERNANCE; MODEL_RISK,,"Restore agent secret redaction controls to the approved state, capture owner approval, and retain evidence from the authoritative system.","AI governance, oversight, monitoring, or safety controls may not be operating effectively for the model or system.","Update AI inventory, risk assessment, oversight, monitoring, or guardrail evidence and document owner approval.",Review the normalized resource snapshot and the evaluated policy conditions to confirm the failed configuration state.
ai-agent-tool-allowlist-required,AI Agent Tool Allowlist Required,ai,policies/ai/ai-agent-tool-allowlist-required.yaml,active,medium,ai,ai::agent,,policy,cel,ai_governance,examine; interview; test,EU AI Act; ISO 42001; SOC 2,EU AI Act Art.13; EU AI Act Art.14; ISO 42001 A.2.2; ISO 42001 A.6.2.4; ISO 42001 A.8.2; ISO 42001 A.9.2; SOC 2 CC3.2; SOC 2 CC7.2,EU AI Act Art. Articles; ISO 42001 A.2 Policies; ISO 42001 A.6 Lifecycle; ISO 42001 A.8 Information for Interested Parties; ISO 42001 A.9 Use of AI Systems; SOC 2 CC3 Risk Assessment; SOC 2 CC7 System Operations,agent; ai; generated; tool-use,ai; assessment:examine; assessment:interview; assessment:test; cel; evidence:ai_governance; policy,agent; ai; assessment:examine; assessment:interview; assessment:test; cel; evidence:ai_governance; generated; policy; tool-use,DATA_EXPOSURE; GOVERNANCE; MODEL_RISK,,"Restore agent tool allowlist required controls to the approved state, capture owner approval, and retain evidence from the authoritative system.","AI governance, oversight, monitoring, or safety controls may not be operating effectively for the model or system.","Update AI inventory, risk assessment, oversight, monitoring, or guardrail evidence and document owner approval.",Review the normalized resource snapshot and the evaluated policy conditions to confirm the failed configuration state.
ai-bias-testing,AI Model Bias Testing Performed,ai,policies/ai/ai-bias-testing.yaml,active,high,ai,ai_models,,policy,cel,ai_governance,examine; interview; test,ISO 42001; SOC 2,ISO 42001 6.1; ISO 42001 9.2; SOC 2 CC1.4,ISO 42001 6 Planning; ISO 42001 9 Performance Evaluation; SOC 2 CC1 Control Environment,ai; bias; fairness; iso42001; ml,ai; assessment:examine; assessment:interview; assessment:test; cel; evidence:ai_governance; policy,ai; assessment:examine; assessment:interview; assessment:test; bias; cel; evidence:ai_governance; fairness; iso42001; ml; policy,,,Perform bias testing on AI models that make decisions affecting individuals. Document testing methodology and results.,"AI governance, oversight, monitoring, or safety controls may not be operating effectively for the model or system.","Update AI inventory, risk assessment, oversight, monitoring, or guardrail evidence and document owner approval.",Review the normalized resource snapshot and the evaluated policy conditions to confirm the failed configuration state.
ai-data-governance,AI Training Data Governance,ai,policies/ai/ai-data-governance.yaml,active,high,ai,ai_datasets,,policy,cel,ai_governance,examine; interview; test,GDPR; ISO 42001; SOC 2,GDPR Art.30; GDPR Art.5; ISO 42001 10.2; ISO 42001 7.3; SOC 2 CC6.1,GDPR Article Articles; ISO 42001 10 Improvement; ISO 42001 7 Support; SOC 2 CC6 Logical and Physical Access,ai; data; governance; iso42001; ml; privacy,ai; assessment:examine; assessment:interview; assessment:test; cel; evidence:ai_governance; policy,ai; assessment:examine; assessment:interview; assessment:test; cel; data; evidence:ai_governance; governance; iso42001; ml; policy; privacy,,,Document data lineage and usage rights for all AI training datasets. Ensure consent is obtained where required.,"AI governance, oversight, monitoring, or safety controls may not be operating effectively for the model or system.","Update AI inventory, risk assessment, oversight, monitoring, or guardrail evidence and document owner approval.",Review the normalized resource snapshot and the evaluated policy conditions to confirm the failed configuration state.
