framework,area_id,area_name,evidence_use,area_control_refs,matched_control_refs,finding_id,finding_name,pack_id,source_id,evaluation_mode,severity,status,maturity,purpose
CCPA,consumer-rights-requests,Consumer rights requests,review_group,CCPA 1798.100; CCPA 1798.105; CCPA 1798.106; CCPA 1798.110; CCPA 1798.115; CCPA 1798.120; CCPA 1798.121; CCPA 1798.125; CCPA 1798.130; CCPA 1798.135,CCPA 1798.100; CCPA 1798.105,data-inventory-processing-activity-retention-missing,Processing Activity Retention Missing,policy,policy,event,medium,active,candidate,"Review whether know, delete, correct, opt-out, limit-use, non-retaliation, and request-method evidence is current for California consumer requests."
CCPA,consumer-rights-requests,Consumer rights requests,review_group,CCPA 1798.100; CCPA 1798.105; CCPA 1798.106; CCPA 1798.110; CCPA 1798.115; CCPA 1798.120; CCPA 1798.121; CCPA 1798.125; CCPA 1798.130; CCPA 1798.135,CCPA 1798.100; CCPA 1798.110; CCPA 1798.115,data-inventory-processing-activity-legal-basis-missing,Processing Activity Legal Basis Missing,policy,policy,event,high,active,candidate,"Review whether know, delete, correct, opt-out, limit-use, non-retaliation, and request-method evidence is current for California consumer requests."
CCPA,consumer-rights-requests,Consumer rights requests,review_group,CCPA 1798.100; CCPA 1798.105; CCPA 1798.106; CCPA 1798.110; CCPA 1798.115; CCPA 1798.120; CCPA 1798.121; CCPA 1798.125; CCPA 1798.130; CCPA 1798.135,CCPA 1798.100; CCPA 1798.130,compliance-data-inventory-maintained,Data Inventory Maintained,policy,policy,event,medium,active,candidate,"Review whether know, delete, correct, opt-out, limit-use, non-retaliation, and request-method evidence is current for California consumer requests."
CCPA,consumer-rights-requests,Consumer rights requests,review_group,CCPA 1798.100; CCPA 1798.105; CCPA 1798.106; CCPA 1798.110; CCPA 1798.115; CCPA 1798.120; CCPA 1798.121; CCPA 1798.125; CCPA 1798.130; CCPA 1798.135,CCPA 1798.100; CCPA 1798.130,consent-preference-platform-notice-version-missing,Consent Notice Version Missing,policy,policy,event,medium,active,candidate,"Review whether know, delete, correct, opt-out, limit-use, non-retaliation, and request-method evidence is current for California consumer requests."
CCPA,consumer-rights-requests,Consumer rights requests,review_group,CCPA 1798.100; CCPA 1798.105; CCPA 1798.106; CCPA 1798.110; CCPA 1798.115; CCPA 1798.120; CCPA 1798.121; CCPA 1798.125; CCPA 1798.130; CCPA 1798.135,CCPA 1798.105,ai-data-retention-reviewed,AI Data Retention Reviewed,policy,policy,event,medium,active,candidate,"Review whether know, delete, correct, opt-out, limit-use, non-retaliation, and request-method evidence is current for California consumer requests."
CCPA,consumer-rights-requests,Consumer rights requests,review_group,CCPA 1798.100; CCPA 1798.105; CCPA 1798.106; CCPA 1798.110; CCPA 1798.115; CCPA 1798.120; CCPA 1798.121; CCPA 1798.125; CCPA 1798.130; CCPA 1798.135,CCPA 1798.105; CCPA 1798.106; CCPA 1798.125; CCPA 1798.130,privacy-request-system-rights-request-overdue,Privacy Rights Request Overdue,policy,policy,event,high,active,candidate,"Review whether know, delete, correct, opt-out, limit-use, non-retaliation, and request-method evidence is current for California consumer requests."
CCPA,consumer-rights-requests,Consumer rights requests,review_group,CCPA 1798.100; CCPA 1798.105; CCPA 1798.106; CCPA 1798.110; CCPA 1798.115; CCPA 1798.120; CCPA 1798.121; CCPA 1798.125; CCPA 1798.130; CCPA 1798.135,CCPA 1798.106; CCPA 1798.130,privacy-request-system-verification-missing,Privacy Request Verification Missing,policy,policy,event,high,active,candidate,"Review whether know, delete, correct, opt-out, limit-use, non-retaliation, and request-method evidence is current for California consumer requests."
CCPA,consumer-rights-requests,Consumer rights requests,review_group,CCPA 1798.100; CCPA 1798.105; CCPA 1798.106; CCPA 1798.110; CCPA 1798.115; CCPA 1798.120; CCPA 1798.121; CCPA 1798.125; CCPA 1798.130; CCPA 1798.135,CCPA 1798.120; CCPA 1798.121; CCPA 1798.135,consent-preference-platform-opt-out-not-enforced,Sale or Sharing Opt-Out Not Enforced,policy,policy,event,high,active,candidate,"Review whether know, delete, correct, opt-out, limit-use, non-retaliation, and request-method evidence is current for California consumer requests."
CCPA,consumer-rights-requests,Consumer rights requests,review_group,CCPA 1798.100; CCPA 1798.105; CCPA 1798.106; CCPA 1798.110; CCPA 1798.115; CCPA 1798.120; CCPA 1798.121; CCPA 1798.125; CCPA 1798.130; CCPA 1798.135,CCPA 1798.121; CCPA 1798.135,consent-preference-platform-sensitive-use-limit-missing,Sensitive Personal Information Limit Missing,policy,policy,event,high,active,candidate,"Review whether know, delete, correct, opt-out, limit-use, non-retaliation, and request-method evidence is current for California consumer requests."
CCPA,consumer-rights-requests,Consumer rights requests,review_group,CCPA 1798.100; CCPA 1798.105; CCPA 1798.106; CCPA 1798.110; CCPA 1798.115; CCPA 1798.120; CCPA 1798.121; CCPA 1798.125; CCPA 1798.130; CCPA 1798.135,CCPA 1798.125; CCPA 1798.130,privacy-request-system-denial-rationale-missing,Privacy Request Denial Rationale Missing,policy,policy,event,medium,active,candidate,"Review whether know, delete, correct, opt-out, limit-use, non-retaliation, and request-method evidence is current for California consumer requests."
