framework,area_id,area_name,evidence_use,control_refs,control_families,purpose
CCPA,consumer-rights-requests,Consumer rights requests,review_group,CCPA 1798.100; CCPA 1798.105; CCPA 1798.106; CCPA 1798.110; CCPA 1798.115; CCPA 1798.120; CCPA 1798.121; CCPA 1798.125; CCPA 1798.130; CCPA 1798.135,CCPA 1798 Consumer Privacy Rights,"Review whether know, delete, correct, opt-out, limit-use, non-retaliation, and request-method evidence is current for California consumer requests."
CCPA,privacy-security-breach,Privacy security and breach,review_group,CCPA 1798.100; CCPA 1798.130; CCPA 1798.150,CCPA 1798 Consumer Privacy Rights,"Review whether personal-information security findings, breach liability evidence, notices, and remediation records are tied to affected systems and consumers."
EU AI Act,deployer-transparency-monitoring,Deployer transparency and monitoring,review_group,EU AI Act Art.26; EU AI Act Art.27; EU AI Act Art.50; EU AI Act Art.53; EU AI Act Art.55; EU AI Act Art.72,EU AI Act Art. Articles,"Review whether deployer obligations, fundamental-rights impact assessment, user transparency, general-purpose AI duties, systemic-risk controls, and post-market monitoring records are current."
EU AI Act,high-risk-ai-system-controls,High-risk AI system controls,review_group,EU AI Act Art.10; EU AI Act Art.11; EU AI Act Art.12; EU AI Act Art.13; EU AI Act Art.14; EU AI Act Art.15; EU AI Act Art.16; EU AI Act Art.17; EU AI Act Art.18; EU AI Act Art.9,EU AI Act Art. Articles,"Review whether high-risk AI risk management, data governance, documentation, logging, transparency, oversight, accuracy, and quality-management evidence is complete."
GDPR,data-subject-rights,Data subject rights,review_group,GDPR Article 12; GDPR Article 15; GDPR Article 16; GDPR Article 17; GDPR Article 18; GDPR Article 20; GDPR Article 21; GDPR Article 22,GDPR Article Articles,"Review whether access, rectification, erasure, restriction, portability, objection, and automated-decision requests have intake, verification, response, and exception evidence."
GDPR,processing-accountability,Processing accountability,review_group,GDPR Article 24; GDPR Article 28; GDPR Article 30; GDPR Article 35; GDPR Article 5,GDPR Article Articles,"Review whether processing records, privacy ownership, processor oversight, and core data-protection principles have current evidence."
GDPR,security-breach-response,Security and breach response,review_group,GDPR Article 32; GDPR Article 33; GDPR Article 34,GDPR Article Articles,"Review whether security measures, incident detection, regulator notification, and data-subject notification evidence are connected for personal-data incidents."
HIPAA,administrative-safeguards,Administrative safeguards,review_group,HIPAA 164.308(a)(1)(ii)(A); HIPAA 164.308(a)(3)(ii)(C); HIPAA 164.308(a)(5)(ii)(B); HIPAA 164.308(a)(6); HIPAA 164.308(a)(7); HIPAA 164.308(b)(1),HIPAA 164.308 Administrative Safeguards,"Review whether risk analysis, workforce security, awareness, incident procedures, contingency planning, and business-associate evidence are represented together."
HIPAA,breach-and-documentation,Breach and documentation evidence,review_group,HIPAA 164.316(a); HIPAA 164.316(b)(2)(i); HIPAA 164.404(a); HIPAA 164.404(b); HIPAA 164.404(c)(1); HIPAA 164.406(a); HIPAA 164.408(a); HIPAA 164.412; HIPAA 164.414,HIPAA 164.316 Policies and Documentation; HIPAA 164.4 Breach Notification,"Review whether breach discovery, individual notice, media notice, HHS notice, delay rationale, and retained policy evidence are complete for the incident period."
HIPAA,technical-safeguards,Technical safeguards,review_group,HIPAA 164.312; HIPAA 164.312(a)(2)(ii); HIPAA 164.312(a)(2)(iv); HIPAA 164.312(b); HIPAA 164.312(e)(1); HIPAA 164.312(e)(2)(ii),HIPAA 164.312 Technical Safeguards,"Review whether access control, audit control, person or entity authentication, encryption, and transmission protection findings cover electronic protected health information."
