framework,control_id,control_ref,control_family,coverage_status,coverage_lane,gap_type,direct_finding_count,source_backed_finding_count,source_matched_finding_count,source_capability_count,review_context_count,next_action
ccpa,1798.100,ccpa 1798.100,CCPA 1798 Consumer Privacy Rights,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
ccpa,1798.105,ccpa 1798.105,CCPA 1798 Consumer Privacy Rights,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
ccpa,1798.106,ccpa 1798.106,CCPA 1798 Consumer Privacy Rights,framework_catalog_only,none,no_mapping_or_evidence,0,0,0,0,0,"Decide whether this control is in scope, then add findings, evidence, or an exclusion."
ccpa,1798.110,ccpa 1798.110,CCPA 1798 Consumer Privacy Rights,framework_catalog_only,none,no_mapping_or_evidence,0,0,0,0,0,"Decide whether this control is in scope, then add findings, evidence, or an exclusion."
ccpa,1798.115,ccpa 1798.115,CCPA 1798 Consumer Privacy Rights,framework_catalog_only,none,no_mapping_or_evidence,0,0,0,0,0,"Decide whether this control is in scope, then add findings, evidence, or an exclusion."
ccpa,1798.120,ccpa 1798.120,CCPA 1798 Consumer Privacy Rights,framework_catalog_only,none,no_mapping_or_evidence,0,0,0,0,0,"Decide whether this control is in scope, then add findings, evidence, or an exclusion."
ccpa,1798.121,ccpa 1798.121,CCPA 1798 Consumer Privacy Rights,framework_catalog_only,none,no_mapping_or_evidence,0,0,0,0,0,"Decide whether this control is in scope, then add findings, evidence, or an exclusion."
ccpa,1798.125,ccpa 1798.125,CCPA 1798 Consumer Privacy Rights,framework_catalog_only,none,no_mapping_or_evidence,0,0,0,0,0,"Decide whether this control is in scope, then add findings, evidence, or an exclusion."
ccpa,1798.130,ccpa 1798.130,CCPA 1798 Consumer Privacy Rights,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
ccpa,1798.135,ccpa 1798.135,CCPA 1798 Consumer Privacy Rights,framework_catalog_only,none,no_mapping_or_evidence,0,0,0,0,0,"Decide whether this control is in scope, then add findings, evidence, or an exclusion."
ccpa,1798.150,ccpa 1798.150,CCPA 1798 Consumer Privacy Rights,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cerebroaigovernance,AI-1,cerebroaigovernance AI-1,Cerebro AI Governance AI AI Governance Controls,framework_catalog_only,none,no_mapping_or_evidence,0,0,0,0,0,"Decide whether this control is in scope, then add findings, evidence, or an exclusion."
cerebroaigovernance,AI-2,cerebroaigovernance AI-2,Cerebro AI Governance AI AI Governance Controls,framework_catalog_only,none,no_mapping_or_evidence,0,0,0,0,0,"Decide whether this control is in scope, then add findings, evidence, or an exclusion."
cerebroaigovernance,AI-3,cerebroaigovernance AI-3,Cerebro AI Governance AI AI Governance Controls,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cerebroaigovernance,AI-4,cerebroaigovernance AI-4,Cerebro AI Governance AI AI Governance Controls,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cerebroaigovernance,AI-5,cerebroaigovernance AI-5,Cerebro AI Governance AI AI Governance Controls,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
cerebrofinancialcontrols,FIN-1,cerebrofinancialcontrols FIN-1,Cerebro Financial Controls FIN Financial Controls,direct_control_only,direct,missing_source_backing,1,0,0,0,0,Add source capability or evidence requirements for mapped findings.
