framework,framework_id,framework_version,framework_lifecycle,framework_authority,framework_source_type,framework_source_url,framework_source_status,framework_control_model,framework_evidence_model,assessment_notes
CCPA,ccpa,current,current,California Legislature,regulation,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?division=3.&part=4.&lawCode=CIV&title=1.81.5,official_statute,"Consumer privacy rights, notices, disclosure, deletion, correction, opt-out, and sensitive information controls.","Consumer request intake, verification, fulfillment, denial rationale, disclosure inventory, opt-out, and retention evidence.","Link each privacy finding to the consumer right, request state, and system inventory evidence."
CIS AWS Foundations Benchmark v2.0,cisawsfoundationsv20,v2.0,retained_catalog_version,Center for Internet Security,cloud_configuration_benchmark,https://www.cisecurity.org/benchmark/amazon_web_services,official_benchmark_page,"AWS account, IAM, logging, monitoring, and networking configuration recommendations.","Cloud configuration state, API settings, audit logs, monitoring rules, and remediation evidence.","Treat benchmark recommendations as technical configuration evidence, not broad governance coverage."
CIS Benchmarks,cisbenchmarks,current,current,Center for Internet Security,configuration_benchmark_catalog,https://www.cisecurity.org/cis-benchmarks,official_catalog,"Secure configuration recommendations across operating systems, cloud services, databases, and applications.","Configuration state, benchmark scan result, exception, remediation, and sampled asset evidence.",Always retain the product benchmark name and version with evidence.
CIS Controls v8,ciscontrolsv8,v8.1,current,Center for Internet Security,prioritized_safeguard_catalog,https://www.cisecurity.org/controls,official_landing,Prioritized cyber defense safeguards organized by Implementation Group.,"Asset, software, vulnerability, access, logging, malware, data protection, and incident response evidence by safeguard.",Use Implementation Group and safeguard granularity when prioritizing coverage gaps.
CIS EKS Benchmark v1.3,ciseksbenchmarkv13,v1.3,retained_catalog_version,Center for Internet Security,managed_kubernetes_configuration_benchmark,https://www.cisecurity.org/benchmark/amazon_eks,official_benchmark_page,Amazon EKS configuration recommendations.,"EKS cluster settings, IAM integration, logging, network policy, encryption, and node configuration evidence.",Bind evidence to the EKS benchmark version and the sampled cluster mode.
CIS GKE Benchmark v1.4,cisgkebenchmarkv14,v1.4,retained_catalog_version,Center for Internet Security,managed_kubernetes_configuration_benchmark,https://www.cisecurity.org/benchmark/google_kubernetes_engine,official_benchmark_page,Google Kubernetes Engine configuration recommendations.,"GKE cluster settings, workload identity, logging, network policy, private cluster, and release channel evidence.",Bind evidence to the GKE benchmark version and the sampled cluster mode.
CIS GitHub Benchmark,cisgithubbenchmark,current,current,Center for Internet Security,application_configuration_benchmark,https://www.cisecurity.org/benchmark/github,official_benchmark_page,GitHub organization and repository secure configuration recommendations.,"Organization settings, repository access, branch protection, secret scanning, audit log, and collaborator evidence.","Scope evidence to the GitHub organization, repository class, and benchmark version."
CIS Google Workspace Benchmark,cisgoogleworkspacebenchmark,current,current,Center for Internet Security,application_configuration_benchmark,https://www.cisecurity.org/benchmark/google_workspace,official_benchmark_page,Google Workspace tenant and application secure configuration recommendations.,"Admin configuration, identity, group, device, sharing, audit log, and application setting evidence.","Scope evidence to tenant, organizational unit, and benchmark version."
CIS Kubernetes Benchmark,ciskubernetesbenchmark,current,current,Center for Internet Security,kubernetes_configuration_benchmark,https://www.cisecurity.org/benchmark/kubernetes,official_benchmark_page,"Kubernetes control plane, node, policy, and workload hardening recommendations.","Cluster configuration, admission policy, RBAC, audit logging, network policy, and kubelet setting evidence.",Scope evidence by Kubernetes distribution and benchmark version before claiming conformance.
CISA,cisa,Cybersecurity Performance Goals,current,CISA,cybersecurity_performance_goals,https://www.cisa.gov/resources-tools/resources/cybersecurity-performance-goals-cpgs,official_landing,Outcome-oriented cybersecurity performance goals for critical infrastructure and enterprise risk reduction.,"Asset inventory, account security, vulnerability, logging, backup, incident response, and third-party risk evidence.","Treat CISA goals as operating outcomes, not audit clauses, unless mapped to a formal assessment program."
CJIS Security Policy,cjis_security_policy,current,current,Federal Bureau of Investigation,criminal_justice_information_security_policy,https://le.fbi.gov/cjis-division/cjis-security-policy-resource-center,official_policy_resource_center,"Policy areas for protecting Criminal Justice Information across governance, access, identification, authentication, audit, encryption, media, incident response, and mobile access.","Agency agreement, security addendum, personnel screening, access authorization, MFA, audit log, encryption, media protection, incident response, and training evidence.","Preserve agency role, CJI scope, user population, system boundary, and policy-area context before asserting coverage."
CMMC 2.0,cmmc20,2.0,current,U.S. Department of Defense,defense_contracting_cybersecurity_model,https://dodcio.defense.gov/CMMC/Model/,official_landing,Cybersecurity maturity model for Federal Contract Information and Controlled Unclassified Information protection levels.,"System security plan, assessment objective evidence, control implementation, asset scope, CUI handling, POA&M, policy, procedure, and technical configuration evidence.","Bind evidence to CMMC level, assessment scope, CUI environment, and the underlying NIST SP 800-171 practice where applicable."
